movie_odid,display_name,production_company,billing,financing,in association with,production
139970100,La siciliana ribelle,R&C Produzioni,,,,
139970100,La siciliana ribelle,"Eurofilm, Roissy Films",,,,
139970100,La siciliana ribelle,Studio 37,,,,
139970100,La siciliana ribelle,Malec Prod,,,,
139970100,La siciliana ribelle,Cite Films,,,,
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Temple Hill Entertainment,,,,
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Sunswept Entertainment,,,,
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,,,,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Temple Hill Entertainment,2,,,1
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Summit Entertainment,1,1,,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Sunswept Entertainment,3,,1,1
140020100,Helena From the Wedding,Beech Hill Films,,,,
140020100,Helena From the Wedding,Rainbow Film Co,,,,
140020100,Helena From the Wedding,Henry Jaglom,,,,
140030100,Monsters,Vertigo Films,,,,
140040100,Catfish,Hit the Ground Running,,,,
140040100,Catfish,A Supermarche,,,,
140050100,Red,di Bonaventura Pictures,,,,
140060100,Freakonomics,Green Films Co,,,,
140070100,The Warrior's Way,Boram Entertainment,,,,
140070100,The Warrior's Way,Wellmade Star M,,,,
140070100,The Warrior's Way,Sidus FNH,,,,
140070100,The Warrior's Way,Fuse+Media and Culture,,,,
140070100,The Warrior's Way,Unplugged Studios,,,,
140070100,The Warrior's Way,Mike's Movies/OzWorks,,,,
140080100,Stone,Mimran Schur Pictures,,,,
140090100,Frankenweenie,Walt Disney Pictures,1,1,,
140090100,Frankenweenie,Tim Burton,2,,,1
140100100,John Carter,Walt Disney Pictures,1,1,,
140100100,John Carter,Jim Morris,2,,,1
140110100,Dolphin Tale,Alcon Entertainment,,,,
140120100,Altiplano,MA.JA.DE Fiction,,,,
140120100,Altiplano,BO Films,,,,
140120100,Altiplano,Entre Chien et Loup,,,,
140120100,Altiplano,Lemming Film,,,,
181330100,Penguins of Madagascar,DreamWorks Animation,1,,,1
181330100,Penguins of Madagascar,PDI,2,,,1
180630100,Minions,Universal Pictures,1,1,,0
180630100,Minions,Illumination Entertainment,2,,,1
