movie_odid,display_name,release_odid,release_name,video_release_date,type,distributor
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-11,Regular,Summit Home Video
139990100,"The Twilight Saga: Breaking Dawn, Part 2",78730119,"The Twilight Saga: Breaking Dawn, Part 2",2013-03-02,Regular,Lionsgate Home Entertainment
140030100,Monsters,39550119,Monsters,2011-02-01,,Magnolia Home Entertainment
140040100,Catfish,80040119,Catfish,2011-01-04,Regular,Universal Home Entertainment
140050100,Red,22230119,Red,2011-01-25,,Summit Home Video
140060100,Freakonomics,55720119,Freakonomics,2011-01-18,,Magnolia Home Entertainment
140070100,The Warrior's Way,56780119,The Warrior's Way,2011-06-28,,Fox Home Entertainment
140080100,Stone,39010119,Stone,2011-01-18,,Anchor Bay Home Entertainment
140090100,Frankenweenie,75920119,Frankenweenie,2013-01-08,Regular,Buena Vista Home Entertainment
140100100,John Carter,65790119,John Carter,2012-06-05,Regular,Buena Vista Home Entertainment
140110100,Dolphin Tale,60250119,Dolphin Tale,2011-12-20,,Warner Home Video
181330100,Penguins of Madagascar,105420119,Penguins of Madagascar,2015-02-10,Online Only,Fox Home Entertainment
180630100,Minions,121410119,Minions,2015-11-24,,Universal Home Entertainment
