movie_odid,display_name,chart_date,revenue,total_revenue
181330100,Penguins of Madagascar,2015-04-19,2729565,2729565
181330100,Penguins of Madagascar,2015-04-26,2155990,4885555
181330100,Penguins of Madagascar,2015-05-03,1634100,6519655
181330100,Penguins of Madagascar,2015-05-10,1192986,7712641
181330100,Penguins of Madagascar,2015-05-17,908767,8621408
181330100,Penguins of Madagascar,2015-05-24,822586,9443994
181330100,Penguins of Madagascar,2015-05-31,749365,10193359
181330100,Penguins of Madagascar,2015-06-07,673955,10867314
181330100,Penguins of Madagascar,2015-06-14,556409,11423723
181330100,Penguins of Madagascar,2015-06-21,426956,11850679
180630100,Minions,2016-01-10,3785936,3785936
180630100,Minions,2016-01-17,3022600,6808536
180630100,Minions,2016-01-24,1885446,8693982
180630100,Minions,2016-01-31,1444823,10138805
180630100,Minions,2016-02-07,1206702,11345507
180630100,Minions,2016-02-14,995368,12340875
180630100,Minions,2016-02-21,934821,13275696
180630100,Minions,2016-02-28,905869,14181565
180630100,Minions,2016-03-06,808167,14989732
180630100,Minions,2016-03-13,672293,15662025
180630100,Minions,2016-03-20,510834,16172859
180630100,Minions,2016-03-27,340819,16513678
180630100,Minions,2016-04-03,288114,16801792
